#Potassium Chloride (KCl)	Cl1K1(cr,l)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	51.287	82.554	82.554	0.	-436.684	-408.761	71.613
300	51.329	82.872	82.555	0.095	-436.675	-408.587	71.141
400	53.137	97.895	84.592	5.321	-438.662	-398.837	52.083
500	54.752	109.927	88.494	10.717	-438.160	-388.935	40.632
600	56.317	120.048	92.931	16.270	-437.462	-379.152	33.008
700	58.003	128.852	97.447	21.984	-436.580	-369.501	27.573
800	60.078	136.727	101.873	27.883	-435.508	-359.989	23.505
900	62.911	143.957	106.152	34.024	-434.210	-350.625	20.350
1000	66.969	150.782	110.276	40.505	-432.610	-341.420	17.834
