#Potassium Sulfide (K2S)	K2S1(cr,l)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	74.684	115.060	115.060	0.	-376.560	-362.745	63.551
300	74.726	115.522	115.061	0.138	-376.573	-362.659	63.145
400	77.320	137.375	118.023	7.741	-384.524	-356.897	46.606
500	79.914	154.907	123.702	15.602	-386.806	-349.730	36.536
600	82.508	169.706	130.167	23.723	-388.349	-342.158	29.787
700	85.144	182.621	136.757	32.105	-389.306	-334.377	24.952
800	87.738	194.161	143.224	40.749	-389.826	-326.490	21.318
900	103.554	205.100	149.486	50.053	-442.745	-317.488	18.427
1000	156.063	218.274	155.672	62.602	-438.078	-303.773	15.867
