#Calcium Chloride (CaCl2)	Ca1Cl2(cr)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	72.856	104.602	104.602	0.	-795.797	-748.073	131.059
300	72.927	105.053	104.603	0.135	-795.773	-747.777	130.200
400	75.647	126.448	107.502	7.578	-794.434	-731.979	95.587
500	77.153	143.502	113.054	15.224	-793.125	-716.519	74.854
600	78.199	157.663	119.342	22.992	-791.931	-701.312	61.055
700	79.370	169.801	125.704	30.868	-790.866	-686.294	51.212
800	80.919	180.495	131.897	38.878	-790.750	-671.318	43.833
900	83.094	190.145	137.841	47.074	-789.800	-656.447	38.099
1000	85.772	199.033	143.521	55.512	-788.919	-641.678	33.518
