#Sodium Carbonate (Na2CO3)	C1Na2O3(cr)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	111.003	138.797	138.797	0.	-1130.768	-1048.009	183.607
300	111.253	139.484	138.799	0.206	-1130.764	-1047.496	182.385
400	125.102	173.307	143.317	11.996	-1135.696	-1019.370	133.116
500	142.214	203.007	152.332	25.337	-1134.473	-990.400	103.466
600	163.302	230.759	163.106	40.592	-1131.568	-961.826	83.734
700	187.569	257.722	174.702	58.115	-1126.604	-933.897	69.688
