#Sodium Silicate (Na2Si2O5)	Na2O5Si2(cr)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	156.984	164.055	164.055	0.	-2470.066	-2324.163	407.184
300	157.494	165.027	164.058	0.291	-2470.090	-2323.258	404.515
400	183.401	214.007	170.560	17.379	-2475.916	-2273.781	296.925
500	203.246	257.178	183.653	36.762	-2474.938	-2223.325	232.269
600	217.576	295.572	199.168	57.843	-2472.541	-2173.208	189.195
700	227.840	329.925	215.438	80.141	-2469.179	-2123.575	158.463
800	235.162	360.855	231.715	103.312	-2465.186	-2074.470	135.449
900	240.325	388.869	247.645	127.102	-2460.809	-2025.890	117.580
