#Sodium Chloride (NaCl)	Cl1Na1(cr)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	50.509	72.115	72.115	0.	-411.120	-384.024	67.279
300	50.543	72.428	72.116	0.093	-411.110	-383.856	66.835
400	52.350	87.226	74.122	5.242	-413.318	-374.636	48.922
500	53.940	99.080	77.966	10.557	-412.890	-365.010	38.132
600	55.476	109.050	82.337	16.028	-412.252	-355.491	30.948
700	57.204	117.727	86.786	21.659	-411.408	-346.095	25.826
800	59.312	125.498	91.147	27.481	-410.346	-336.834	21.993
900	61.869	132.627	95.365	33.536	-409.038	-327.721	19.020
1000	64.865	139.296	99.428	39.868	-407.461	-318.768	16.651
