#Calcium, Alpha (Ca)	Ca1(cr)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	25.929	41.588	41.588	0.	0.	0.	0.
300	25.946	41.749	41.589	0.048	0.	0.	0.
350	26.320	45.774	41.906	1.354	0.	0.	0.
400	26.868	49.322	42.615	2.683	0.	0.	0.
450	27.643	52.531	43.541	4.045	0.	0.	0.
500	28.487	55.487	44.590	5.448	0.	0.	0.
600	30.382	60.846	46.861	8.391	0.	0.	0.
700	32.406	65.680	49.210	11.529	0.	0.	0.
