#Titanium, Beta (Ti)	Ti1(cr)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf	
1200	29.459	74.479	54.396	24.100	0.	0.	0.
1300	30.175	76.864	56.033	27.081	0.	0.	0.
1400	31.023	79.131	57.603	30.140	0.	0.	0.
1500	32.003	81.304	59.111	33.290	0.	0.	0.
1600	33.115	83.404	60.564	36.544	0.	0.	0.
1700	34.359	85.448	61.968	39.917	0.	0.	0.
1800	35.736	87.451	63.328	43.421	0.	0.	0.
1900	37.244	89.422	64.650	47.069	0.	0.	0.
