#Sodium Oxide (Na2O)	Na2O1(cr)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	69.103	75.042	75.042	0.	-417.982	-379.090	66.415
300	69.245	75.470	75.043	0.128	-417.985	-378.849	65.964
400	75.776	96.304	77.840	7.386	-423.456	-365.363	47.712
500	81.496	113.855	83.332	15.262	-423.312	-350.842	36.652
600	85.709	129.103	89.717	23.631	-422.555	-336.410	29.287
700	88.851	142.560	96.324	32.365	-421.353	-322.142	24.039
800	91.291	154.589	102.869	41.376	-419.828	-308.070	20.115
900	93.266	165.458	109.229	50.607	-418.075	-294.204	17.075
1000	94.918	175.373	115.355	60.018	-416.169	-280.541	14.654
