#Magnesium Nitride (Mg3N2)	Mg3N2(cr)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	104.516	87.864	87.864	0.	-461.077	-400.923	70.240
300	104.600	88.511	87.866	0.193	-461.075	-400.549	69.742
400	107.654	119.021	92.005	10.806	-461.046	-380.381	49.673
500	110.709	143.371	99.922	21.724	-461.067	-360.213	37.631
600	113.763	163.826	108.913	32.948	-461.128	-340.037	29.603
700	116.817	181.592	118.053	44.477	-461.258	-319.846	23.867
800	119.872	197.390	127.001	56.311	-461.498	-299.630	19.564
