#Magnesium Chloride (MgCl2)	Cl2Mg1(cr)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	71.379	89.629	89.629	0.	-641.616	-592.087	103.731
300	71.496	90.071	89.630	0.132	-641.593	-591.780	103.038
400	75.709	111.276	92.493	7.513	-640.237	-575.376	75.136
500	78.145	128.451	98.022	15.215	-638.773	-559.328	58.433
600	79.873	142.857	104.326	23.119	-637.269	-543.580	47.323
700	81.253	155.274	110.737	31.176	-635.756	-528.085	39.406
800	82.550	166.209	117.001	39.366	-634.254	-512.806	33.483
900	83.847	176.007	123.022	47.686	-632.773	-497.714	28.887
