#Sodium Sulfide, Beta (Na2S2)	Na2S2(cr)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	98.625	150.624	150.624	0.	-397.062	-392.173	68.707
300	98.726	151.234	150.626	0.183	-397.067	-392.142	68.278
400	104.299	180.399	154.565	10.334	-407.354	-389.839	50.908
500	109.872	204.272	162.187	21.042	-410.704	-385.082	40.229
600	115.445	224.796	170.949	32.308	-412.640	-379.752	33.060
700	121.018	243.011	179.966	44.131	-413.415	-374.196	27.923
