#Iron Chloride (FeCl2)	Cl2Fe1(cr)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	76.664	117.947	117.947	0.	-341.833	-302.342	52.969
300	76.735	118.421	117.948	0.142	-341.800	-302.097	52.600
400	79.668	140.921	120.996	7.970	-340.070	-289.125	37.756
500	81.638	158.919	126.840	16.039	-338.424	-276.581	28.894
600	83.107	173.937	133.473	24.278	-336.904	-264.358	23.014
700	84.375	186.845	140.197	32.654	-335.526	-252.378	18.833
800	85.508	198.187	146.751	41.149	-334.345	-240.583	15.708
900	86.504	208.317	153.039	49.751	-333.492	-228.919	13.286
