#Sodium (Na)	Na1(cr)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	28.154	51.455	51.455	0.	0.	0.	0.
300	28.204	51.629	51.455	0.052	0.	0.	0.
350	30.142	56.104	51.805	1.505	0.	0.	0.
