H	1.00E+12
He	7.93E+10
C	2.45E+08
N	6.76E+07
O	4.90E+08
Ne	7.41E+07
Mg	3.55E+07
Al	2.88E+06
Si	3.47E+07
Fe	2.95E+07
Ca	2.19E+06
Ti	8.32E+04
F	2.88E+04
Cl	1.82E+05
S	1.55E+07
Na	2.00E+06
Ar	3.55E+06
Cr	4.47E+05
Ni	1.66E+06
P	2.88E+05
K	1.29E+05
Co	8.13E+04
Mn	3.16E+05
