##Name	del_H	S0	k0	k1	k2	k3
Fe2O12S3	J	-2582.992e3	307.524	530.95	-3493.37	-13158948.75	2225643428.52
H1Na1	J	-56.442e3	40.016	79.32	-557.62	-3042587.35	626793586.16
H2Mg1	J	-76.149e3	31.091	85.32	-354.54	-8120898.37	1644711268.01
K2O1	J	-366.782e3	119.958	229.63	-3679.26	-6.95	3118984022.83
Mg1O4S1	J	-1261.786e3	91.396	244.37	-2914.99	-1.45	562453595.64
Mg1S1	J	-345.724e3	50.334	96.60	-1344.75	-0.92	482383800.19
Mg2Si1	J	-77.822e3	81.588	115.63	-883.18	-1.92	94425270.12
N4Si3	J	-744.752e3	112.967	220.78	-1519.79	-16302743.50	4007459124.91
Na1O2	J	-260.663e3	115.897	199.28	-2988.29	-0.05	1266232659.81
Na2O3Si1	J	-1561.427e3	113.847	250.74	-2562.93	-1.94	262331627.23
Na2S1O4_del	J	-1379.294e3	163.212	395.33	-5735.74	-4.69	2546525406.29
Na2S1O4_iii	J	-1384.854e3	154.908	656.95	-11469.16	-3.56	3664535794.66
Ti1O1_al	J	-542.665e3	34.769	92.09	-1037.78	-1.09	221578850.96
Ti1O1_be	J	-538.481e3	38.077	104.12	-1367.99	-1.17	419567312.45
S2Si1	J	-213.384e3	80.333	110.86	-786.59	-1.21	339006130.84
Ca1H2O2	J	-986.085e3	83.387	148.80	-986.39	-0.22	-107904542.98
Cl2Fe1	J	-341.833e3	117.947	110.04	-684.32	-0.51	173879384.14
Al2S3	J	-651.03e3	116.847	167.40	-1050.40	-1.12	-36516558.13
Fe1S2_i	J	-167.36e3	53.865	116.06	-1024.82	-0.63	161576759.59
Fe1S2_ii	J	-171.544e3	52.916	115.92	-1031.38	-0.70	168593149.66
Fe1H2O2	J	-574.045e3	87.864	130.25	-0.01	-9849474.35	2062336427.85
Fe1H3O3	J	-832.616e3	104.6	222.92	-1662.71	-7938388.62	1711029558.67
Ti1H2	J	-144.348e3	29.711	80.78	-101.36	-11861838.18	2353455080.83
H1K1	J	-57.82e3	50.208	79.55	-570.10	-2234125.33	438715187.49
F1K1	J	-568.606e3	66.547	93.53	-1013.94	-0.65	393421800.28
K2O3Si1	J	-1548.08e3	146.147	242.00	-1893.85	-3796970.73	763552106.66
F2Fe1	J	-705.841e3	86.985	91.48	-239.38	-2353237.45	450388914.29
Ti3O5_al	J	-2459.146e3	129.369	150.00	-99.98	-0.42	-99978727.53
Ti3O5_be	J	-2446.189e3	157.617	354.14	-4362.72	-0.29	2052817923.18
Co1O1	J	-237.735e3	52.993	103.06	-1289.02	-0.10	585420837.01
Ti1O2	B8	-944.750e3	50.460	77.84	0.	-33.678e5	40.294e7
