298.15	0.	93.64	-1660.630	97.65
400.	27.375	125.13	-1659.455	114.27
500	45.416	151.33	-1657.675	119.97
600	58.082	173.46	-1655.675	122.6
700	67.424	192.49	-1654.412	124.3
800	74.629	209.19	-1653.929	125.82
900	80.400	224.10	-1652.923	127.42
1000	85.194	237.62	-1652.339	129.21
1100	89.284	250.02	-1652.161	131.19
1200	92.865	261.53	-1663.354	133.38
1300	96.072	272.30	-1661.232	135.75
1400	98.993	282.45	-1659.023	138.3
1500	101.705	292.08	-1656.689	141.00
1529.99	102.45	295.28	-1655.935	141.83
